name,region_IEA,listed_in_IEA_region,UN_member_state,alternate_names,territory_of
Afghanistan,Eurasia,n,y,,
Albania,Europe,y,y,,
Algeria,Africa,y,y,,
Andorra,Europe,n,y,,
Angola,Africa,y,y,,
Antigua and Barbuda,North America,n,y,,
Argentina,Central and South America,y,y,,
Armenia,Eurasia,n,y,,
Australia,Asia Pacific,y,y,,
Austria,Europe,y,y,,
Azerbaijan,Eurasia,y,y,,
Bahamas,North America,n,y,,
Bahrain,Middle East,y,y,,
Bangladesh,Asia Pacific,y,y,,
Barbados,North America,n,y,,
Belarus,Europe,y,y,,
Belgium,Europe,y,y,,
Belize,Central and South America,n,y,,
Benin,Africa,y,y,,
Bhutan,Asia Pacific,n,y,,
Bolivia,Central and South America,y,y,"Plurinational State of Bolivia; Bolivia (Plurinational State of); Bolivia, Plurinational State of",
Bosnia and Herzegovina,Europe,y,y,Bosnia and Herz.; Bosnia & Herzegovina,
Botswana,Africa,y,y,,
Brazil,Central and South America,y,y,,
Brunei Darussalam,Asia Pacific,y,y,Brunei,
Bulgaria,Europe,y,y,,
Burkina Faso,Africa,n,y,,
Burundi,Africa,n,y,,
Cabo Verde,Africa,n,y,Cape Verde; Republic of Cabo Verde; Republic of Cape Verde,
Cambodia,Asia Pacific,y,y,,
Cameroon,Africa,y,y,,
Canada,North America,y,y,,
Central African Republic,Africa,n,y,Central African Rep.; Central African Rep,
Chad,Africa,n,y,,
Chile,Central and South America,y,y,,
China,Asia Pacific,y,y,People's Republic of China; PRC; P.R.C.; Hong Kong,
Colombia,Central and South America,y,y,,
Comoros,Africa,n,y,Comores,
Congo,Africa,y,y,"Congo (Brazzaville); Republic of the Congo; Congo, Republic of the; People's Republic of Congo",
Costa Rica,Central and South America,y,y,,
Cote d'Ivoire,Africa,y,y,Côte d'Ivoire; Cote d’Ivoire; Côte d’Ivoire; Ivory Coast,
Croatia,Europe,y,y,Republic of Croatia,
Cuba,Central and South America,y,y,,
Cyprus,Europe,y,y,,
Czechia,Europe,y,y,Czech Republic,
Democratic People's Republic of Korea,Asia Pacific,y,y,North Korea,
Democratic Republic of the Congo,Africa,y,y,DRC; Congo (Dem. Rep.); D.R.C.; Dem. Rep. Congo; Congo (Kinshasa); Congo (Dem Rep); Democratic Republic of Congo; Congo DRC;,
Denmark,Europe,y,y,,
Djibouti,Africa,n,y,,
Dominica,North America,n,y,,
Dominican Republic,Central and South America,y,y,Dominican Rep.,
Ecuador,Central and South America,y,y,,
Egypt,Africa,y,y,Arab Republic of Egypt,
El Salvador,Central and South America,y,y,,
Equatorial Guinea,Africa,y,y,Eq. Guinea,
Eritrea,Africa,y,y,,
Estonia,Europe,y,y,,
Eswatini,Africa,y,y,Swaziland; Kingdom of Swaziland; Kingdom of Eswatini,
Ethiopia,Africa,y,y,,
Fiji,Asia Pacific,n,y,,
Finland,Europe,y,y,,
France,Europe,y,y,,
Gabon,Africa,y,y,,
Gambia,Africa,n,y,"The Gambia; Republic of the Gambia; Gambia, The; Gambia (Republic of The)",
Georgia,Eurasia,y,y,,
Germany,Europe,y,y,,
Ghana,Africa,y,y,,
Greece,Europe,y,y,,
Grenada,North America,n,y,,
Guatemala,Central and South America,y,y,,
Guinea,Africa,n,y,,
Guinea-Bissau,Africa,n,y,Guinea Bissau; S-GB AGC,
Guyana,Central and South America,n,y,,
Haiti,Central and South America,y,y,,
Honduras,Central and South America,y,y,,
Hungary,Europe,y,y,,
Iceland,Europe,y,y,,
India,Asia Pacific,y,y,,
Indonesia,Asia Pacific,y,y,,
Iran,Middle East,y,y,Islamic Republic of Iran; Iran (Islamic Republic of),
Iraq,Middle East,y,y,,
Ireland,Europe,y,y,,
Israel,Europe,y,y,,
Italy,Europe,y,y,,
Jamaica,Central and South America,y,y,,
Japan,Asia Pacific,y,y,,
Jordan,Middle East,y,y,,
Kazakhstan,Eurasia,y,y,,
Kenya,Africa,y,y,,
Kiribati,Asia Pacific,n,y,,
Kuwait,Middle East,y,y,,
Kyrgyzstan,Eurasia,y,y,,
Lao People's Democratic Republic,Asia Pacific,y,y,Laos,
Latvia,Europe,y,y,,
Lebanon,Middle East,y,y,,
Lesotho,Africa,n,y,,
Liberia,Africa,n,y,,
Libya,Africa,y,y,,
Liechtenstein,Europe,n,y,,
Lithuania,Europe,y,y,,
Luxembourg,Europe,n,y,Grand Duchy of Luxembourg,
Madagascar,Africa,y,y,,
Malawi,Africa,n,y,,
Malaysia,Asia Pacific,y,y,,
Maldives,Asia Pacific,n,y,,
Mali,Africa,n,y,,
Malta,Europe,y,y,,
Marshall Islands,Asia Pacific,n,y,,
Mauritania,Africa,n,y,,
Mauritius,Africa,y,y,Republic of the Mauritius; Republic of Mauritius,
Mexico,North America,y,y,,
Micronesia,Asia Pacific,n,y,Federated States of Micronesia; Micronesia (Federated States of),
